country,geo,indicator.name,indicator,year,tfr
South Sudan,ssd,Total fertility rate,tfr,1801,6.64
Afghanistan,afg,Total fertility rate,tfr,1802,7.0
Albania,alb,Total fertility rate,tfr,1802,4.6
Algeria,dza,Total fertility rate,tfr,1802,6.99
Angola,ago,Total fertility rate,tfr,1802,6.93
Antigua and Barbuda,atg,Total fertility rate,tfr,1802,4.99
Argentina,arg,Total fertility rate,tfr,1802,6.8
Armenia,arm,Total fertility rate,tfr,1802,7.81
Aruba,abw,Total fertility rate,tfr,1802,5.64
Australia,aus,Total fertility rate,tfr,1802,6.46
Austria,aut,Total fertility rate,tfr,1802,5.1
Azerbaijan,aze,Total fertility rate,tfr,1802,8.1
Bahamas,bhs,Total fertility rate,tfr,1802,5.9
Bahrain,bhr,Total fertility rate,tfr,1802,7.03
Bangladesh,bgd,Total fertility rate,tfr,1802,6.7
Barbados,brb,Total fertility rate,tfr,1802,4.9
Belarus,blr,Total fertility rate,tfr,1802,7.0
Belgium,bel,Total fertility rate,tfr,1802,4.84
Belize,blz,Total fertility rate,tfr,1802,6.69
Benin,ben,Total fertility rate,tfr,1802,5.55
Bhutan,btn,Total fertility rate,tfr,1802,6.67
Bolivia,bol,Total fertility rate,tfr,1802,6.48
Bosnia and Herzegovina,bih,Total fertility rate,tfr,1802,5.91
Botswana,bwa,Total fertility rate,tfr,1802,6.47
Brazil,bra,Total fertility rate,tfr,1802,6.26
Brunei,brn,Total fertility rate,tfr,1802,7.06
Bulgaria,bgr,Total fertility rate,tfr,1802,5.16
Burkina Faso,bfa,Total fertility rate,tfr,1802,6.03
Burundi,bdi,Total fertility rate,tfr,1802,6.8
Cambodia,khm,Total fertility rate,tfr,1802,6.95
Cameroon,cmr,Total fertility rate,tfr,1802,5.54
Canada,can,Total fertility rate,tfr,1802,5.72
Cape Verde,cpv,Total fertility rate,tfr,1802,6.43
Central African Republic,caf,Total fertility rate,tfr,1802,6.51
Chad,tcd,Total fertility rate,tfr,1802,6.06
Channel Islands,chanisl,Total fertility rate,tfr,1802,5.07
Chile,chl,Total fertility rate,tfr,1802,5.98
China,chn,Total fertility rate,tfr,1802,5.5
Colombia,col,Total fertility rate,tfr,1802,6.19
Comoros,com,Total fertility rate,tfr,1802,6.01
"Congo, Dem. Rep.",cod,Total fertility rate,tfr,1802,5.99
"Congo, Rep.",cog,Total fertility rate,tfr,1802,5.67
Costa Rica,cri,Total fertility rate,tfr,1802,6.93
Cote d'Ivoire,civ,Total fertility rate,tfr,1802,6.78
Croatia,hrv,Total fertility rate,tfr,1802,5.75
Cuba,cub,Total fertility rate,tfr,1802,5.78
Cyprus,cyp,Total fertility rate,tfr,1802,6.03
Czech Republic,cze,Total fertility rate,tfr,1802,5.31
Denmark,dnk,Total fertility rate,tfr,1802,4.05
Djibouti,dji,Total fertility rate,tfr,1802,6.3
Dominican Republic,dom,Total fertility rate,tfr,1802,6.16
Ecuador,ecu,Total fertility rate,tfr,1802,6.98
Egypt,egy,Total fertility rate,tfr,1802,6.06
El Salvador,slv,Total fertility rate,tfr,1802,5.9
Equatorial Guinea,gnq,Total fertility rate,tfr,1802,5.51
Eritrea,eri,Total fertility rate,tfr,1802,6.96
Estonia,est,Total fertility rate,tfr,1802,5.41
Ethiopia,eth,Total fertility rate,tfr,1802,7.17
Fiji,fji,Total fertility rate,tfr,1802,6.45
Finland,fin,Total fertility rate,tfr,1802,5.23
France,fra,Total fertility rate,tfr,1802,4.31
